component,direction,rank,feature,loading
PC1,positive,1,location_visits,0.43871274588559833
PC1,positive,2,steps_total,0.4075908972227102
PC1,positive,3,walking_hours,0.3702537373026054
PC1,positive,4,food_hours,0.2912987076144132
PC1,positive,5,study_hours,0.25472640694833626
PC1,negative,1,media_playing_hours,-0.16851190472081248
PC1,negative,2,media_sessions,-0.18824699392020197
PC1,negative,3,home_hours,-0.18827674590082566
PC1,negative,4,screen_time_hours,-0.19694070480923076
PC1,negative,5,still_hours,-0.2699117618614082
PC2,positive,1,vehicle_hours,0.48378372872710984
PC2,positive,2,distance_traveled_km,0.3697957447675092
PC2,positive,3,walking_hours,0.23510442054008215
PC2,positive,4,biking_hours,0.1682219434015619
PC2,positive,5,screen_time_hours,0.11904126612942677
PC2,negative,1,food_hours,-0.20399289500934362
PC2,negative,2,study_hours,-0.22338153622456106
PC2,negative,3,home_hours,-0.26007142065808114
PC2,negative,4,own_dorm_hours,-0.28359241933777596
PC2,negative,5,still_hours,-0.4719190742216405
PC3,positive,1,media_sessions,0.5520508481979852
PC3,positive,2,media_playing_hours,0.5016346337412513
PC3,positive,3,screen_time_hours,0.46309554324874563
PC3,positive,4,home_hours,0.19785988861749376
PC3,positive,5,own_dorm_hours,0.19175270734812702
PC3,negative,1,biking_hours,-0.060306103546160526
PC3,negative,2,distance_traveled_km,-0.07634681656525678
PC3,negative,3,vehicle_hours,-0.07746395518195438
PC3,negative,4,still_hours,-0.08529722475137187
PC3,negative,5,sleep_hours,-0.15823286134692235
PC4,positive,1,running_hours,0.3950516113852153
PC4,positive,2,home_hours,0.31629629754392063
PC4,positive,3,walking_hours,0.30195268780036283
PC4,positive,4,steps_total,0.28216715775881596
PC4,positive,5,sleep_midpoint_hours_after_8pm,0.25956435733433764
PC4,negative,1,location_visits,-0.20587186364431792
PC4,negative,2,distance_traveled_km,-0.23089813742134105
PC4,negative,3,food_hours,-0.23587126732631386
PC4,negative,4,study_hours,-0.2573096567163947
PC4,negative,5,social_hours,-0.3792064863039099
PC5,positive,1,running_hours,0.5001874423026116
PC5,positive,2,social_hours,0.40510854046640393
PC5,positive,3,sleep_hours,0.3075619574620787
PC5,positive,4,steps_total,0.12819912377806264
PC5,positive,5,media_playing_hours,0.09707463303129368
PC5,negative,1,sleep_midpoint_hours_after_8pm,-0.1379676196954722
PC5,negative,2,vehicle_hours,-0.16504024067243295
PC5,negative,3,distance_traveled_km,-0.27253118390183906
PC5,negative,4,home_hours,-0.37071863694721896
PC5,negative,5,own_dorm_hours,-0.3991678626748945
PC6,positive,1,sleep_midpoint_hours_after_8pm,0.7330742794851244
PC6,positive,2,social_hours,0.2890542633635618
PC6,positive,3,sleep_hours,0.25126662580904024
PC6,positive,4,walking_hours,0.1647115215459881
PC6,positive,5,screen_time_hours,0.06602550206399253
PC6,negative,1,other_campus_hours,-0.12461788329959901
PC6,negative,2,home_hours,-0.13310205120418384
PC6,negative,3,study_hours,-0.15700231882530866
PC6,negative,4,biking_hours,-0.2177835905377414
PC6,negative,5,running_hours,-0.39128977689350214
PC7,positive,1,biking_hours,0.8156400639477428
PC7,positive,2,sleep_hours,0.4728251214644249
