component,correlation,n
PC1,0.051225300035479655,22262
PC2,-0.21100941968946346,22262
PC3,0.07262837978847277,22262
PC4,-0.05773580684613342,22262
PC5,-0.07732890274030291,22262
PC6,-0.06523965108164034,22262
PC7,0.01737163931382313,22262
PC8,-0.05681064421353696,22262
PC9,0.05864397704660111,22262
PC10,0.002968551159734151,22262
PC11,0.007719297135062645,22262
PC12,0.049547075502072956,22262
PC13,-0.02934968283584678,22262
PC14,-0.027890059140851166,22262
PC15,0.0022703256893538476,22262
PC16,-0.027713208710487536,22262
PC17,0.04501933853344052,22262
PC18,-0.06718597670728643,22262
PC19,-0.07861110992760835,22262
