uid,gender,race
3569e2f520db9014b4acc4227a6421c1,both,white
ac70fe1f8115ac361f2023269c011c3e,M,asian
3bb377ba0acb7d8916010184df36aa57,F,white
fa394f6d3d077bd5568fc3bc01580806,F,white
84120765740b5395aa49a2feb12fbb43,M,asian
f4d488e3c8096842b645280d8f01ae43,F,asian
79d8490ab94fc7cd6530b1f22593d708,F,white
3dad5f11680b432159b65838119ab87e,F,white
2b3d267f18830c3c257b382edabef246,M,white
46f1dfeda71a865074859c81bb314fd9,F,white
e60e86c5e68c34e34f69aa9257eb977b,M,other/hispanic
c31fd374e5d8227a31bf8f06f0402b96,M,asian
165970c3847523de7691ef9766b0f3f4,M,asian
45555d3305e255895b11695c179a98cd,F,white
a4fcfc9e92d6861285d6c5979d2fd54b,M,asian
c21283c11daebb61004b688f04c27715,M,white
0aee9faa6f2d2d24d85d2690f5b2df25,F,white
596df3c263e97eb09d44a8535ec20ffa,F,white
c703d4732f997328085fad609ecd6656,M,white
791c580346256bca5c697d19170a50b5,F,other/hispanic
a23be0935798553a76b4e74cfc1740f1,F,white
1ff6d7f34acb354430e7323a35ff7703,F,asian
8391d8b451084771d0affcc26e34d773,M,other/hispanic
e8811b53add5bfb32640af600ba33399,F,white
01fb41df0f6c2f69d65db5a38c600b4c,M,white
9e9e21ee5dbdb37ffda3225cd0403d34,F,white
ab5ee451ce580a761fefd88f7b49a97f,F,white
5580eba4ad4d1266854f3fec95266bd2,F,white
96cf40f9d3b2d69466161000cd69ae5c,F,white
76b564dca3ab4d899e5a30d3cbcb0aac,M,white
c4de76cb7f30c4073617bfb80fabaec6,M,white
59256b077a34f2f4ed7bbf7670e53786,F,white
d2c8a48736cfe925440115558db860ee,F,white
0ab7acb36e6c710a7733c1c24e566bb3,M,white
6683f5d8f1730b0fce6c1fd8b46ab76f,F,white
284784fd7319c4e33b0bf1dc90c1a610,F,white
46562035189535f838d640973dbb222e,F,white
800994037be85bdfd6b3e43be70d02b3,F,white
003df5deff30e1e5a07b5d063fe85c3f,F,asian
2de8db6af975b72ac70440ede29e1cfb,F,black
e06024d216d36ef2d7cddc8a67cf77a7,F,more than one
